bug_id,creation_date,component_name,product_name,short_description,long_description,reporter_name,resolution_category,status_category,bug_fix_time,severity_category,results
POPPLER-6199,10-03-06,glib frontend,POPPLER,mem leak in font properties,font_info struct is not freed in poppler_font_info_free (glib/poppler-document.cc),carlosgc,fixed,resolved,11,normal,0
XORG-21222,15-04-09,Input/synaptics,XORG,The synaptics edge scrolling defaults are too small,"For some touchpads (notably alps) the default edge width is too small to provide reliable scrolling.

https://bugzilla.redhat.com/show_bug.cgi?id=494766

The current approach of calculating the edges according to the synaptics interface guidelines and amount to roughly 4% of the total usable area.

This seems to be fine (from a subjective POV) for a Synaptics touchpad but too small for alps (which has a different range).

Users in Fedora bug 494766 state that a RightEdge of 890 900 or (maximum) 950 is needed to be usable. The default from the calculation is 983.

We should probably adjust the default edge range to make it just work on most setups.",peter.hutterer,fixed,resolved,19,normal,0
LIBREOFFICE-33358,21-01-11,Spreadsheet,LIBREOFFICE,[FORMATTING] Wrong Russian format of the date,"When I format cell as date by template 'D MMMM YYYY' it results '22 Январь 2011'. It's a calque of English language 22 January 2011. In Russian it's some heresy it should be '22 января 2011' from small letter in genitive case.

The most laughable is that you have a combo for date language and get that crap instead.",mistresssilvara,fixed,resolved,322,normal,0
XORG-23838,10-09-09,Driver/geode,XORG,xf86-video-geode: git problem when updating,"Doing a git pull on a newly cloned repo always produce this message:
------------------------------------------------------------------
From git://anongit.freedesktop.org/git/xorg/driver/xf86-video-geode
   fc77269..6513103  master     -> origin/master
Already up-to-date.
-------------------------------------------------------------------

Doing a git status:
-------------------------------------------------------------------
# On branch master
# Your branch is ahead of 'origin/master' by 52 commits.
#
nothing to commit (working directory clean)
-------------------------------------------------------------------

The commits in questions are from 651310328e3cfc5c4936cf5df1dcaf7d319d20f6 to  fc772694ec04f729b5a1cdced7f33dc406c1d67f

I have been doing many git pull recently so this is fairly recent like a day or two. None of the other 267 other modules I pull from have this behavior so it is unlikely the problem is on my workstation.

I don't have much experience with git if you look in the web git browser the 52nd commit is tagged with HEAD:
2008-11-18	DCON: Mark 1200x900 mode as preferred.HEAD

It would make sense that if the HEAD is pointing at that commit the master branch would be ahead by 52 commits.",memsize,fixed,resolved,216,normal,0
SWFDEC-13815,25-12-07,library,SWFDEC,Wrong url for http get,"Version: git e53a7897c6361b974dd6a98d4960b8ff8c913ea2

I get a 404 while with adobe works fine.

rm@eurasia:~/swfdec/swfdec/player$ ./swfplay http://www.betterworldbooks.com/Flash/output.swf
SWFDEC: FIXME: swfdec_pattern.c(331): swfdec_pattern_do_parse: CAIRO_EXTEND_PAD is not yet implemented
SWFDEC: WARN : swfdec_as_interpret.c(920): swfdec_action_call_method: no function named Cancel on object unknown
SWFDEC: ERROR: swfdec_loader.c(335): swfdec_loader_error: error in loader 0x83fd458: 404 Not Found

I sniffed the traffic with ethereal on both a machine with the adobe flash player and mine with swfdec and see a difference in the requested url:

adobe
------
No.     Time        Source                Destination           Protocol Info
     46 75.912082   192.168.0.56          216.117.104.223       HTTP     GET /Flash/output.swf HTTP/1.1
     47 76.065640   216.117.104.223       192.168.0.56          HTTP     HTTP/1.1 304 Not Modified
     48 76.152994   192.168.0.56          209.85.161.103        HTTP     GET /urchin.js HTTP/1.1
     49 76.342510   209.85.161.103        192.168.0.56          HTTP     Continuation or non-HTTP traffic
     50 77.311017   192.168.0.56          209.85.161.103        HTTP     GET /__utm.gif?utmwv=1&utmn=90985750&utmcs=utf-8&utmsr=1024x768&utmsc=8-bit&utmul=en-us&utmje=1&utmfl=9.0&utmcn=1&utmdt=Better%20World%20Books&utmhn=betterworldbooks.com&utmr=-&utmp=/&utmac=UA-96636-2&utmcc=__utma%3D226742055.90985750.1198609931.1198609931.1198609931.1%3B%2B__utmb%3D226742055%3B%2B__utmc%3D226742055%3B%2B__utmz%3D226742055.1198609931.1.1.utmccn%3D(direct)%7Cutmcsr%3D(direct)%7Cutmcmd%3D(none)%3B%2B HTTP/1.1
     51 77.395803   209.85.161.103        192.168.0.56          HTTP     HTTP/1.1 200 OK (GIF89a)
     52 77.486833   192.168.0.56          216.117.104.223       HTTP     GET /assets/menu.xml HTTP/1.1

swfdec
------
No.     Time        Source                Destination           Protocol Info
     15 13.720192   192.168.10.25         216.117.104.223       HTTP     GET /Flash/output.swf HTTP/1.1
     66 22.490412   216.117.104.223       192.168.10.25         HTTP     HTTP/1.1 200 OK (application/x-shockwave-flash)
     68 15.036196   192.168.10.25         216.117.104.223       HTTP     GET /Flash/assets/menu.xml HTTP/1.1
     71 15.218783   216.117.104.223       192.168.10.25         HTTP     HTTP/1.1 404 Not Found (text/html)",riccardo.magliocchetti,fixed,resolved,31,normal,0
TELEPATHY-39377,19-07-11,tp-glib,TELEPATHY,TP_CONTACT_FEATURE_LOCATION repeatedly prepared for contacts who have no location,"I noticed that whenever a chat state changes in an Empathy conversation window Empathy (well tp-glib on behalf of Empathy) would re-request Location attributes. For instance here's me typing a single character into a conversation window:

> method call sender=:1.657 -> dest=:1.452 serial=427
>             path=/org/freedesktop/Telepathy/Connection/gabble/jabber/will_40example_2fb756e715/ImChannel11
>             interface=org.freedesktop.Telepathy.Channel.Interface.ChatState
>             member=SetChatState
>    uint32 3
> signal sender=:1.452 -> dest=(null destination) serial=10051
>        path=/org/freedesktop/Telepathy/Connection/gabble/jabber/will_40example_2fb756e715/ImChannel11
>        interface=org.freedesktop.Telepathy.Channel.Interface.ChatState
>        member=ChatStateChanged
>    uint32 1
>    uint32 3
> method return sender=:1.452 -> dest=:1.657 reply_serial=427
> method call sender=:1.657 -> dest=:1.452 serial=428
>             path=/org/freedesktop/Telepathy/Connection/gabble/jabber/will_40example_2fb756e715
>             interface=org.freedesktop.Telepathy.Connection.Interface.Contacts
>             member=GetContactAttributes
>    array [
>       uint32 1
>    ]
>    array [
>       string org.freedesktop.Telepathy.Connection.Interface.Location
>    ]
>    boolean true
> method return sender=:1.452 -> dest=:1.657 reply_serial=428
>    array [
>       dict entry(
>          uint32 1
>          array [
>             dict entry(
>                string org.freedesktop.Telepathy.Connection/contact-id
>                variant                   string will@example
>             )
>          ]
>       )
>    ]

This happens because the internal CONTACT_FEATURE_FLAG_LOCATION flag is only set on a TpContact when a location is discovered for them (specifically by contact_maybe_set_location() which is called from the LocationUpdated signal and from the GetContactAttributes return callback. (And indirectly from the inexplicable GetLocations() fallback path but we'll ignore that.)

contact_maybe_set_location() looks like this:

  static void
  contact_maybe_set_location (TpContact *self
      GHashTable *location)
  {
    if (self == NULL || location == NULL)
      return

    if (self->priv->location != NULL)
      g_hash_table_unref (self->priv->location)

    self->priv->has_features |= CONTACT_FEATURE_FLAG_LOCATION
    self->priv->location = g_hash_table_ref (location)
    g_object_notify ((GObject *) self location)
  }

But the .../location attribute is defined to be omitted entirely if the contact has no location. 

TpContact should be able to tell that it requested location information and hence that the absence of the attribute indicates that the contact has no published location information.

(Relatedly I noticed that Empathy will crash if ::notify(location) is emitted by TpContact and tp_contact_get_location() subsequently returns NULL. So I guess we have to represent “I know this contact has no published location information” by an empty hash table. Joy!)

Some other features may have similar issues. I haven't really checked. This is the one that bothers me whenever I look at dbus-monitor. :)",will,fixed,resolved,8,normal,0
LIBREOFFICE-31019,20-10-10,Libreoffice,LIBREOFFICE,LibreOffice Beta 2 - unable to register/load Java runtime (on Mac OS X 10.6),"While using the above beta I found a function could not run because it requires Java. I'm almost certain the function worked in Beta 1.

I checked Preferences to find that no Java runtime was registered despite having the lastest Mac release of it (as of today). Attempts to load and register Java within LO Preferences failed despite indications that it attempts to register.

NeoOffice has the latest Java Runtime correctly registered and functions appropriately.

Thanks",PeterSHarris,fixed,closed,13,normal,0
SYSTEMD-68370,21-08-13,general,SYSTEMD,systemd-nspawn -b doesn't cleanup machine slice if systemd inside container,"systemd-nspawn doesn't clean all machine slices so restarting doesn't work (see below). After removing slice in /sys/fs/cgroup it starts fine.

m_melnikau-M11xR3 kvms # systemd-nspawn -D /media/gsoho -b
systemd 206 running in system mode. (+PAM +LIBWRAP -AUDIT -SELINUX +IMA -SYSVINIT -LIBCRYPTSETUP -GCRYPT +ACL -XZ)
Detected virtualization 'systemd-nspawn'.
Welcome to Gentoo/Linux!
...
All filesystems unmounted.
Storage is finalized.
Container has been shut down.

m_melnikau-M11xR3 kvms # systemd-nspawn -D /media/gsoho -b
Spawning namespace container on /media/gsoho (console is /dev/pts/4).
Init process in the container running as PID 4706.
Failed to register machine: File exists
Container failed with error code 239.

m_melnikau-M11xR3 kvms # wc -l /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks
0 /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks

m_melnikau-M11xR3 kvms # rmdir /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/system.slice/systemd-journald.service/

m_melnikau-M11xR3 kvms # wc -l /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks                                 
wc: /sys/fs/cgroup/systemd/system.slice/machine-gsoho.scope/tasks: No such file or directory

# systemd-nspawn -D /media/gsoho -b                                                                 
...
Welcome to Gentoo/Linux!",maxposedon,fixed,resolved,77,normal,0
LIBREOFFICE-69169,10-09-13,Presentation,LIBREOFFICE,SLIDESHOW: Crash when using some transition effects,"Libreoffice crashes when I press F5.

It doesn't crash for newly created files but it crashes on each ppt(x)s that I tried.

It hangs when I pressed F5 using a converted odp (from ppt).

Version: LibreOffice 4.1.1.2 410m0(Build:2)
Distro: Arch Linux
Kernel: Linux 3.10.10-1-ARCH #1 SMP PREEMPT Fri Aug 30 11:30:06 CEST 2013 x86_64 GNU/Linux",wmzhere,fixed,resolved,60,major,2
TELEPATHY-27967,04-05-10,tp-glib,TELEPATHY,telepathy-glib master fails check/distcheck since enums branch was merged,"Subject says it all see the referenced branch.

(Danielle: if these changes have been merged by the time you start tomorrow please have a look at them in git so you know for future work)",smcv,fixed,resolved,0,blocker,1
MESA-59282,12-01-13,Drivers/Gallium/r600,MESA,Undefined symbol '_ZTVN10__cxxabiv120__si_class_type_infoE' in r600_dri.so,"Mesa from git master (head 3c3a2b51b85a90cfe670e1ca81ce86c8fa0d448d) has a undefined symbol in r600_dri.so which prevents it from being loaded:

$ LIBGL_DEBUG=verbose glxinfo
libGL: OpenDriver: trying /usr/lib64/dri/r600_dri.so
libGL error: dlopen /usr/lib64/dri/r600_dri.so failed (/usr/lib64/dri/r600_dri.so: undefined symbol: _ZTVN10__cxxabiv120__si_class_type_infoE)
libGL error: unable to load driver: r600_dri.so
libGL error: driver pointer missing
libGL error: failed to load driver: r600

configure line:
--with-dri-drivers= --with-gallium-drivers=swrastr600 --enable-gallium-llvm  --enable-gallium-egl --with-egl-platforms=x11drm --enable-gles1 --enable-gles2 --enable-glx-tls --enable-texture-float --enable-shared-glapi

I tried adding radeonsi to the list and see if this fixes it but in order to build this I have to install LLVM 3.2 which I'm not planning to do today.",tdroste,fixed,resolved,1,blocker,1
XORG-1203,27-08-04,Lib/Xlib,XORG,multiple definitions of XdmcpWrap,"in make Xnest and XWin (both include libX11 and libXdmcp)

../../exports/lib/libXdmcp.a(Wrap.o)(.text+0x0): In function `XdmcpWrap':
/mnt/d/ago/xorg-head/xc/.build/lib/Xdmcp/Wrap.c:56: multiple definition of
`_XdmcpWrap'
../../exports/lib/libX11.a(d000548.o)(.text+0x0): first defined here
collect2: ld returned 1 exit status

I don't know how to solve this without removing Wrap.c from libX11 and linking
it to libXdmcp",ago,fixed,resolved,4,blocker,1
CAIRO-8313,17-09-06,pdf backend,CAIRO,cairo_pdf_surface_set_size missing cairo_public,"as a result the function does not get exported (when building with msvc) and
gtk+ HEAD has a missing external",hans,fixed,resolved,1,normal,0
LIBREOFFICE-35252,12-03-11,WWW,LIBREOFFICE,Bugzilla Version picker: New version LibO 3.3.2 RC2 is missing,"We need 3.3.2 in Version picker.

Can't we get that in a to do list so that always when a new version will be uploaded to the mirrors a reminder will be there for the responsible one?",LibreOffice,fixed,resolved,9,normal,0
XORG-6329,21-03-06,Lib/other,XORG,Xlib: maximum number of clients reached,"When running for a couple of days under a moderate load (two dozen or so 
windows at a time mostly konqueror/konsole/kate) the server starts responding 
with the message Xlib: maximum number of clients reached. The server is still 
usable as long as there are less than 10 (approximately) windows open (I can 
close some windows to open another but thats it applications using older 
widget libraries such as gs refuse to connect even if all windows are 
closed). The server has to be restarted to correct the problem. 
 
Open file descriptors (when server becomes inoperative): 
/usr/X11R6/lib/X11/fonts/Type1/encodings.dir     - 344  
/usr/X11R6/lib/X11/fonts/encodings/encodings.dir - 344 
all other files and sockets                      - 40 
 
Therefore I believe this is a bug. I'm using both Type1 and TTF fonts. 
 
System info: 
Kernel: 2.6.15.1 #1 SMP PREEMPT 
Video driver: nvidia proprietary 1.0-8178 
Ram: 512 MB 
Processor: Intel P-4 1.8GHz",oakad,fixed,resolved,4465,normal,0
DRI-39696,30-07-11,DRM/Radeon,DRI,dual head: different vert refresh freq applications sync to the wrong one,"I've a notebook with a JUNIPER 0x1002:0x68A0 chip using KMS dri and gallium.

I mostly use external monitors connected by display port HDMI or DVI
cloning the internal display onto them (identical resolution identical screen).

No matter what monitor (I tried two different Dell an Iiyama and an Acer) and 
what port (DVI HDMI DP) I use 
KMS always sets sligthly different vertical refresh frequencies: 
The internal display runs at 60 Hz the external monitor runs at 59.9 Hz.

However although I only look at the external monitor all applications
(both 3D/DRM and video/Xv) sync to the vert refresh of the internal display.

This results in very nasty tearing effects: 
A clearly visible horizontal offset line moves up slowly on the external monitor 
for any video or 3D application (cyclically with a period of about 10 seconds).

1.) Is there a way to run both displays at exactly the same vert frequency
and with synchronized vertical retrace?
2.) Is there a way to switch 3D and video application sync
from the internal to the external vsync rate?",klaus.kusche,fixed,resolved,11,major,2
TELEPATHY-32551,21-12-10,tp-glib,TELEPATHY,tp_base_client_set_observer_recover doesn't do what it says,tp_base_client_set_observer_recover (client FALSE) will set Recover=TRUE.,jonny.lamb,fixed,resolved,1,normal,0
XORG-86655,24-11-22,Server/Input/Core,XORG,Evdev doesn't map touch coordinates properly to secondary X screens,"On system with several X screens on same server e.g. several GPU cards that doesn't support functions similar to TwinView or BaseMosaic of NVIDIA evdev doesn't map coordinates of touch events properly.

Screen 0
 1st monitor 1920x1080 +0+0
 2nd monitor : 1920x1080 +0+1080
Screen 1
 3rd monitor: 1920x1080 +0+2160

All three are touchscreens mapped with coordinate transformation matrices like this:

Section InputClass
  Identifier Touch1
  MatchIsTouchscreen on
  MatchTag ctouch-1
  Option TransformationMatrix 1 0 0 0 0.3333 0 0 0 1
  Driver evdev
 EndSection

Section InputClass
  Identifier Touch2
  MatchIsTouchscreen on
  MatchTag ctouch-2
  Option TransformationMatrix 1 0 0 0 0.3334 0.3333 0 0 1
  Driver evdev
 EndSection

Section InputClass
  Identifier Touch3
  MatchIsTouchscreen on
  MatchTag ctouch-3
  Option TransformationMatrix 1 0 0 0 0.3333 0.6667 0 0 1
  Driver evdev
 EndSection

Two upper touchscreen work as intended if I touch third cursor got placed on bottom edge of display. Same hardware displays arranged in horizontal pattern from left to right result in cursor clinging on rightmost edge. Relative coordinates pointer device (mouse) work with no err.",ellanteres,fixed,resolved,802,major,2
DRI-101263,01-06-17,DRM/Intel,DRI,[IGT] [BSW] gem_tiled_fence_blits@normal  Segmentation fault (core dumped),"Created attachment 131627
dmesg.log

The following test case produces Segmentation fault (core dumped) on BSW with latest configuration

test case
====================================
igt@gem_tiled_fence_blits@normal

test output
=====================================

IGT-Version: 1.18-g00ce341 (x86_64) (Linux: 4.12.0-rc3-drm-tip-ww22-commit-4aa1d46+ x86_64)
(gem_tiled_fence_blits:1301) drmtest-DEBUG: Test requirement passed: !(fd<0)
(gem_tiled_fence_blits:1301) igt-debugfs-DEBUG: Opening debugfs directory '/sys/kernel/debug/dri/0'
(gem_tiled_fence_blits:1301) drmtest-DEBUG: Test requirement passed: is_i915_device(fd) && has_known_intel_chipset(fd)
(gem_tiled_fence_blits:1301) ioctl-wrappers-DEBUG: Test requirement passed: err == 0
(gem_tiled_fence_blits:1301) igt-core-DEBUG: Test requirement passed: !igt_run_in_simulation()
(gem_tiled_fence_blits:1301) igt-core-DEBUG: Starting subtest: normal
(gem_tiled_fence_blits:1301) intel-os-DEBUG: Checking 6224 surfaces of size 1048576 bytes (total 6445596672) against RAM
(gem_tiled_fence_blits:1301) drmtest-DEBUG: Test requirement passed: !(fd<0)
(gem_tiled_fence_blits:1301) igt-debugfs-DEBUG: Opening debugfs directory '/sys/kernel/debug/dri/0'
(gem_tiled_fence_blits:1301) intel-os-DEBUG: Test requirement passed: __intel_check_memory(count size mode &required &total)
(gem_tiled_fence_blits:1301) igt-core-DEBUG: Test requirement passed: !igt_run_in_simulation()
Using 6225 1MiB buffers
Received signal SIGSEGV.
Stack trace:
 #0 [fatal_sig_handler+0x1a6]
 #1 [killpg+0x40]
 #2 [run_test+0x119]
 #3 [+0x119]
Subtest normal: CRASH (22.878s)
Received signal SIGSEGV.
Stack trace:
 #0 [fatal_sig_handler+0x1a6]
 #1 [killpg+0x40]
 #2 [+0x40]
(:1301) igt-debugfs-DEBUG: Opening debugfs directory '/sys/kernel/debug/dri/0'
Segmentation fault (core dumped)



Software
======================================
kernel version              : 4.12.0-rc3-drm-tip-ww22-commit-4aa1d46+
architecture                : x86_64
os version                  : Ubuntu 16.10
os codename                 : yakkety
kernel driver               : i915
bios revision               : 0.33
bios release date           : 08/12/2015
ksc                         : 0.16


Graphic drivers
===================================================
Component: drm
    tag: libdrm-2.4.80-18-gce9e3ba
    commit: ce9e3ba6e2cc65e1e9e6e05a5f326c4dd25ab2c4

Component: cairo
    tag: 1.15.4-22-g0fd0fd0
    commit: 0fd0fd0ae9ad8cfb177bb844091de98c0235917e

Component: intel-gpu-tools
    tag: intel-gpu-tools-1.18-211-g00ce341
    commit: 00ce341b95c718611689ded8ccec45086186c5b7

Component: piglit
    tag: piglit-v1
    commit: ebbb9c5dcc6a637884d54e06eb430a8c22993413

kernel
===================================================
commit 4aa1d46d3b24bbe545cdf7cbd407c18f5cd5e43d
Author:     Daniel Vetter 
AuthorDate: Wed May 31 10:59:05 2017 +0200
Commit:     Daniel Vetter 
CommitDate: Wed May 31 10:59:05 2017 +0200

    drm-tip: 2017y-05m-31d-08h-58m-36s UTC integration manifest
	
======================================
             Hardware
======================================
platform                   : BSW
motherboard model          : 10G9000NUS
motherboard id             : BRASWELL
form factor                : Desktop
manufacturer               : LENOVO
cpu family                 : Pentium
cpu family id              : 6
cpu information            : Intel(R) Pentium(R) CPU  N3700  @ 1.60GHz
gpu card                   : Intel Corporation Atom/Celeron/Pentium Processor x5-E8000/J3xxx/N3xxx Integrated Graphics Controller (rev 21) (prog-if 00 [VGA controller])
memory ram                 : 7.68 GB
max memory ram             : 8 GB
cpu thread                 : 4
cpu core                   : 4
cpu model                  : 76
cpu stepping               : 3
socket                     : Socket BGA1155
signature                  : Type 0 Family 6 Model 76 Stepping 3
hard drive                 : 476GiB (512GB)
current cd clock frequency : 266667 kHz
maximum cd clock frequency : 320000 kHz
displays connected         : DP-1 DP-3


======================================
             kernel parameters
======================================
quiet drm.debug=0xe auto panic=1 nmi_watchdog=panic resume=/dev/sda3 fastboot


Attachments
=====================================
kern.log
dmesg.log",humberto.i.perez.rodriguez,fixed,closed,271,normal,0
MESA-42069,20-10-11,Drivers/Gallium/r300,MESA,Texture artifacts,"Created attachment 52603
screenshot

r300g git (Mesa 7.12-devel (git-6235846))
Mobility X1600 / 128mb

r300g has some texture artifacts not there on r600g nor llvmpipe.
Since the texture coords are calculated in the vertex shader it's possible the bug is in the interpolation?

Apitrace:
http://kiwi6.com/file/25hl2953ab",cand,fixed,resolved,449,minor,3
